FIPS,County,State,name,name_short,designation
6053,Monterey,CA,California,ca,Not Applicable
6087,Santa Cruz,CA,California,ca,Not Applicable
6085,Santa Clara,CA,California,ca,Not Applicable
6069,San Benito,CA,California,ca,Not Applicable
6111,Ventura,CA,California,ca,Not Applicable
6037,Los Angeles,CA,California,ca,Not Applicable
6073,San Diego,CA,California,ca,Not Applicable
6059,Orange,CA,California,ca,Not Applicable
6065,Riverside,CA,California,ca,Not Applicable
6083,Santa Barbara,CA,California,ca,Not Applicable
6079,San Luis Obispo,CA,California,ca,Not Applicable
6029,Kern,CA,California,ca,Not Applicable
6031,Kings,CA,California,ca,Not Applicable
6047,Merced,CA,California,ca,Not Applicable
6019,Fresno,CA,California,ca,Not Applicable
6039,Madera,CA,California,ca,Not Applicable
6107,Tulare,CA,California,ca,Not Applicable
6027,Inyo,CA,California,ca,Not Applicable
6071,San Bernardino,CA,California,ca,Not Applicable
6045,Mendocino,CA,California,ca,Not Applicable
6075,San Francisco,CA,California,ca,Not Applicable
6041,Marin,CA,California,ca,Not Applicable
6081,San Mateo,CA,California,ca,Not Applicable
6013,Contra Costa,CA,California,ca,Not Applicable
6097,Sonoma,CA,California,ca,Not Applicable
6055,Napa,CA,California,ca,Not Applicable
6095,Solano,CA,California,ca,Not Applicable
6001,Alameda,CA,California,ca,Not Applicable
6077,San Joaquin,CA,California,ca,Not Applicable
6099,Stanislaus,CA,California,ca,Not Applicable
6067,Sacramento,CA,California,ca,Not Applicable
6113,Yolo,CA,California,ca,Not Applicable
6011,Colusa,CA,California,ca,Not Applicable
6021,Glenn,CA,California,ca,Not Applicable
6033,Lake,CA,California,ca,Not Applicable
6103,Tehama,CA,California,ca,Not Applicable
6007,Butte,CA,California,ca,Not Applicable
6101,Sutter,CA,California,ca,Not Applicable
6115,Yuba,CA,California,ca,Not Applicable
6061,Placer,CA,California,ca,Not Applicable
6035,Lassen,CA,California,ca,Not Applicable
6063,Plumas,CA,California,ca,Not Applicable
6023,Humboldt,CA,California,ca,Not Applicable
6015,Del Norte,CA,California,ca,Not Applicable
6105,Trinity,CA,California,ca,Not Applicable
6089,Shasta,CA,California,ca,Not Applicable
6093,Siskiyou,CA,California,ca,Not Applicable
6049,Modoc,CA,California,ca,Not Applicable
6009,Calaveras,CA,California,ca,Not Applicable
6043,Mariposa,CA,California,ca,Not Applicable
6109,Tuolumne,CA,California,ca,Not Applicable
6005,Amador,CA,California,ca,Not Applicable
6017,El Dorado,CA,California,ca,Not Applicable
6003,Alpine,CA,California,ca,Not Applicable
6051,Mono,CA,California,ca,Not Applicable
6057,Nevada,CA,California,ca,Not Applicable
6091,Sierra,CA,California,ca,Not Applicable
6025,Imperial,CA,California,ca,Not Applicable
