FIPS,County,State,name,name_short,designation
36059,Nassau,NY,Stony Brook Cancer Center,stony_brook,Not Designated
36103,Suffolk,NY,Stony Brook Cancer Center,stony_brook,Not Designated
12011,Broward,FL,Sylvester Comprehensive Cancer Center at University of Miami Miller School of Med,miami,Not Comprehensive
12086,Miami-Dade,FL,Sylvester Comprehensive Cancer Center at University of Miami Miller School of Med,miami,Not Comprehensive
12087,Monroe,FL,Sylvester Comprehensive Cancer Center at University of Miami Miller School of Med,miami,Not Comprehensive
12099,Palm Beach,FL,Sylvester Comprehensive Cancer Center at University of Miami Miller School of Med,miami,Not Comprehensive
39001,Adams,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39003,Allen,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39005,Ashland,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39007,Ashtabula,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39009,Athens,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39011,Auglaize,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39013,Belmont,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39015,Brown,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39017,Butler,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39019,Carroll,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39021,Champaign,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39023,Clark,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39025,Clermont,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39027,Clinton,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39029,Columbiana,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39031,Coshocton,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39033,Crawford,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39035,Cuyahoga,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39037,Darke,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39039,Defiance,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39041,Delaware,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39043,Erie,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39045,Fairfield,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39047,Fayette,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39049,Franklin,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39051,Fulton,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39053,Gallia,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39055,Geauga,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39057,Greene,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39059,Guernsey,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39061,Hamilton,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39063,Hancock,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39065,Hardin,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39067,Harrison,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39069,Henry,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39071,Highland,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39073,Hocking,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39075,Holmes,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39077,Huron,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39079,Jackson,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39081,Jefferson,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39083,Knox,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39085,Lake,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39087,Lawrence,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39089,Licking,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39091,Logan,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39093,Lorain,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39095,Lucas,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39097,Madison,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39099,Mahoning,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39101,Marion,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39103,Medina,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39105,Meigs,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39107,Mercer,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39109,Miami,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39111,Monroe,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39113,Montgomery,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39115,Morgan,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39117,Morrow,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39119,Muskingum,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39121,Noble,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39123,Ottawa,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39125,Paulding,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39127,Perry,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39129,Pickaway,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39131,Pike,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39133,Portage,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39135,Preble,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39137,Putnam,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39139,Richland,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39141,Ross,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39143,Sandusky,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39145,Scioto,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39147,Seneca,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39149,Shelby,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39151,Stark,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39153,Summit,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39155,Trumbull,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39157,Tuscarawas,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39159,Union,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39161,Van Wert,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39163,Vinton,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39165,Warren,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39167,Washington,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
39169,Wayne,OH,The Ohio State University Comprehensive Cancer Center at James Cancer Hospital &,osu,Comprehensive
