FIPS,County,State,name,name_short,designation
10003,New Castle,DE,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
34001,Atlantic,NJ,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
34005,Burlington,NJ,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
34007,Camden,NJ,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
34015,Gloucester,NJ,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
34021,Mercer,NJ,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
34023,Middlesex,NJ,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
42017,Bucks,PA,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
42029,Chester,PA,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
42045,Delaware,PA,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
42071,Lancaster,PA,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
42091,Montgomery,PA,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
42101,Philadelphia,PA,Abramson Cancer Center at University of Pennsylvania,penn,Comprehensive
17001,Adams,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17003,Alexander,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17005,Bond,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17013,Calhoun,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17021,Christian,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17025,Clay,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17027,Clinton,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17047,Edwards,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17049,Effingham,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17051,Fayette,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17055,Franklin,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17059,Gallatin,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17061,Greene,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17065,Hamilton,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17069,Hardin,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17077,Jackson,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17081,Jefferson,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17083,Jersey,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17087,Johnson,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
17115,Macon,IL,Alvin J. Siteman Cancer Center at Washington University School of Medicine & Barnes Jewish Hospital,wash_u,Comprehensive
