FIPS,County,State,name,name_short,designation
2198,Prince of Wales-Hyder Census Area,AK,United States,AK,Not Applicable
2164,Lake and Peninsula Borough,AK,United States,AK,Not Applicable
2195,Petersburg Borough,AK,United States,AK,Not Applicable
2100,Haines Borough,AK,United States,AK,Not Applicable
2122,Kenai Peninsula Borough,AK,United States,AK,Not Applicable
2150,Kodiak Island Borough,AK,United States,AK,Not Applicable
2180,Nome Census Area,AK,United States,AK,Not Applicable
2158,Kusilvak Census Area,AK,United States,AK,Not Applicable
2290,Yukon-Koyukuk Census Area,AK,United States,AK,Not Applicable
2130,Ketchikan Gateway Borough,AK,United States,AK,Not Applicable
2063,Chugach Census Area,AK,United States,AK,Not Applicable
2185,North Slope Borough,AK,United States,AK,Not Applicable
2013,Aleutians East Borough,AK,United States,AK,Not Applicable
2105,Hoonah-Angoon Census Area,AK,United States,AK,Not Applicable
2050,Bethel Census Area,AK,United States,AK,Not Applicable
2275,Wrangell City and Borough,AK,United States,AK,Not Applicable
2230,Skagway Municipality,AK,United States,AK,Not Applicable
2188,Northwest Arctic Borough,AK,United States,AK,Not Applicable
2240,Southeast Fairbanks Census Area,AK,United States,AK,Not Applicable
2068,Denali Borough,AK,United States,AK,Not Applicable
2016,Aleutians West Census Area,AK,United States,AK,Not Applicable
2070,Dillingham Census Area,AK,United States,AK,Not Applicable
2110,Juneau City and Borough,AK,United States,AK,Not Applicable
2066,Copper River Census Area,AK,United States,AK,Not Applicable
2090,Fairbanks North Star Borough,AK,United States,AK,Not Applicable
2282,Yakutat City and Borough,AK,United States,AK,Not Applicable
2060,Bristol Bay Borough,AK,United States,AK,Not Applicable
2020,Anchorage Municipality,AK,United States,AK,Not Applicable
2220,Sitka City and Borough,AK,United States,AK,Not Applicable
2170,Matanuska-Susitna Borough,AK,United States,AK,Not Applicable
1097,Mobile,AL,United States,AL,Not Applicable
1003,Baldwin,AL,United States,AL,Not Applicable
1023,Choctaw,AL,United States,AL,Not Applicable
1025,Clarke,AL,United States,AL,Not Applicable
1091,Marengo,AL,United States,AL,Not Applicable
1129,Washington,AL,United States,AL,Not Applicable
1035,Conecuh,AL,United States,AL,Not Applicable
1053,Escambia,AL,United States,AL,Not Applicable
1099,Monroe,AL,United States,AL,Not Applicable
1047,Dallas,AL,United States,AL,Not Applicable
1131,Wilcox,AL,United States,AL,Not Applicable
1001,Autauga,AL,United States,AL,Not Applicable
1013,Butler,AL,United States,AL,Not Applicable
1085,Lowndes,AL,United States,AL,Not Applicable
1063,Greene,AL,United States,AL,Not Applicable
1107,Pickens,AL,United States,AL,Not Applicable
1119,Sumter,AL,United States,AL,Not Applicable
1075,Lamar,AL,United States,AL,Not Applicable
1093,Marion,AL,United States,AL,Not Applicable
1007,Bibb,AL,United States,AL,Not Applicable
1021,Chilton,AL,United States,AL,Not Applicable
1065,Hale,AL,United States,AL,Not Applicable
1105,Perry,AL,United States,AL,Not Applicable
1117,Shelby,AL,United States,AL,Not Applicable
1125,Tuscaloosa,AL,United States,AL,Not Applicable
1009,Blount,AL,United States,AL,Not Applicable
1043,Cullman,AL,United States,AL,Not Applicable
1057,Fayette,AL,United States,AL,Not Applicable
1073,Jefferson,AL,United States,AL,Not Applicable
1127,Walker,AL,United States,AL,Not Applicable
1031,Coffee,AL,United States,AL,Not Applicable
1039,Covington,AL,United States,AL,Not Applicable
1045,Dale,AL,United States,AL,Not Applicable
1061,Geneva,AL,United States,AL,Not Applicable
1067,Henry,AL,United States,AL,Not Applicable
1069,Houston,AL,United States,AL,Not Applicable
1041,Crenshaw,AL,United States,AL,Not Applicable
1101,Montgomery,AL,United States,AL,Not Applicable
1109,Pike,AL,United States,AL,Not Applicable
1005,Barbour,AL,United States,AL,Not Applicable
1011,Bullock,AL,United States,AL,Not Applicable
1087,Macon,AL,United States,AL,Not Applicable
1113,Russell,AL,United States,AL,Not Applicable
1017,Chambers,AL,United States,AL,Not Applicable
1027,Clay,AL,United States,AL,Not Applicable
1037,Coosa,AL,United States,AL,Not Applicable
1051,Elmore,AL,United States,AL,Not Applicable
