FIPS,County,State,name,name_short,designation
1007,Bibb,AL,Appalachian Region,appl,Not Designated
1009,Blount,AL,Appalachian Region,appl,Not Designated
1015,Calhoun,AL,Appalachian Region,appl,Not Designated
1017,Chambers,AL,Appalachian Region,appl,Not Designated
1019,Cherokee,AL,Appalachian Region,appl,Not Designated
1021,Chilton,AL,Appalachian Region,appl,Not Designated
1027,Clay,AL,Appalachian Region,appl,Not Designated
1029,Cleburne,AL,Appalachian Region,appl,Not Designated
1033,Colbert,AL,Appalachian Region,appl,Not Designated
1037,Coosa,AL,Appalachian Region,appl,Not Designated
1043,Cullman,AL,Appalachian Region,appl,Not Designated
1049,DeKalb,AL,Appalachian Region,appl,Not Designated
1051,Elmore,AL,Appalachian Region,appl,Not Designated
1055,Etowah,AL,Appalachian Region,appl,Not Designated
1057,Fayette,AL,Appalachian Region,appl,Not Designated
1059,Franklin,AL,Appalachian Region,appl,Not Designated
1065,Hale,AL,Appalachian Region,appl,Not Designated
1071,Jackson,AL,Appalachian Region,appl,Not Designated
1073,Jefferson,AL,Appalachian Region,appl,Not Designated
1075,Lamar,AL,Appalachian Region,appl,Not Designated
1077,Lauderdale,AL,Appalachian Region,appl,Not Designated
1079,Lawrence,AL,Appalachian Region,appl,Not Designated
1083,Limestone,AL,Appalachian Region,appl,Not Designated
1087,Macon,AL,Appalachian Region,appl,Not Designated
1089,Madison,AL,Appalachian Region,appl,Not Designated
1093,Marion,AL,Appalachian Region,appl,Not Designated
1095,Marshall,AL,Appalachian Region,appl,Not Designated
1103,Morgan,AL,Appalachian Region,appl,Not Designated
1107,Pickens,AL,Appalachian Region,appl,Not Designated
1111,Randolph,AL,Appalachian Region,appl,Not Designated
1115,St. Clair,AL,Appalachian Region,appl,Not Designated
1117,Shelby,AL,Appalachian Region,appl,Not Designated
1121,Talladega,AL,Appalachian Region,appl,Not Designated
1123,Tallapoosa,AL,Appalachian Region,appl,Not Designated
1125,Tuscaloosa,AL,Appalachian Region,appl,Not Designated
1127,Walker,AL,Appalachian Region,appl,Not Designated
1133,Winston,AL,Appalachian Region,appl,Not Designated
13011,Banks,GA,Appalachian Region,appl,Not Designated
13013,Barrow,GA,Appalachian Region,appl,Not Designated
13015,Bartow,GA,Appalachian Region,appl,Not Designated
13045,Carroll,GA,Appalachian Region,appl,Not Designated
13047,Catoosa,GA,Appalachian Region,appl,Not Designated
13055,Chattooga,GA,Appalachian Region,appl,Not Designated
13057,Cherokee,GA,Appalachian Region,appl,Not Designated
13083,Dade,GA,Appalachian Region,appl,Not Designated
13085,Dawson,GA,Appalachian Region,appl,Not Designated
13097,Douglas,GA,Appalachian Region,appl,Not Designated
13105,Elbert,GA,Appalachian Region,appl,Not Designated
13111,Fannin,GA,Appalachian Region,appl,Not Designated
13115,Floyd,GA,Appalachian Region,appl,Not Designated
13117,Forsyth,GA,Appalachian Region,appl,Not Designated
13119,Franklin,GA,Appalachian Region,appl,Not Designated
13123,Gilmer,GA,Appalachian Region,appl,Not Designated
13129,Gordon,GA,Appalachian Region,appl,Not Designated
