FIPS,County,State,name,name_short,designation
5091,Miller,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5027,Columbia,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5073,Lafayette,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5061,Howard,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5081,Little River,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5133,Sevier,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5057,Hempstead,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5019,Clark,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5099,Nevada,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5003,Ashley,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5139,Union,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5013,Calhoun,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5039,Dallas,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5103,Ouachita,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5011,Bradley,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5025,Cleveland,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5043,Drew,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5017,Chicot,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5041,Desha,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5079,Lincoln,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5051,Garland,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5097,Montgomery,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5109,Pike,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5113,Polk,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5127,Scott,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5033,Crawford,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5047,Franklin,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5071,Johnson,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5083,Logan,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5115,Pope,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5131,Sebastian,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5149,Yell,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5053,Grant,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5059,Hot Spring,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5105,Perry,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5119,Pulaski,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5125,Saline,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5069,Jefferson,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5085,Lonoke,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5029,Conway,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5141,Van Buren,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5023,Cleburne,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5045,Faulkner,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5145,White,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5007,Benton,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5009,Boone,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5015,Carroll,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5087,Madison,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5101,Newton,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5143,Washington,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
5005,Baxter,AR,Winthrop P. Rockefeller Cancer Institute,ark,Not Designated
