TABLE,VARIABLE NAME,VARIABLE DEFINITION,ADDITIONAL INFORMATION,SOURCE,URL
Sociodemographic,Total,Total Population,,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Under 18,Under 18 Years Old,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,18 to 64,18 to 64 Years Old,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Over 64,Over 64 Years Old,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Below 9th grade,Did Not Attend High School,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,High School,Graduated High School,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,College,Graduated College,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Advanced Degree,Completed a Graduate Degree,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,White,White (non-Hispanic),% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Black,Black (non-Hispanic),% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Hispanic,Hispanic,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Asian,Asian (non-Hispanic),% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Other Races,Other Non-Hispanic Race,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Sociodemographic,Urban Percentage,Urbanized Residents,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Economic & Insurance,Insurance Coverage,Insured,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Economic & Insurance,Medicaid Enrollment,Enrolled in Medicaid,% of population,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Economic & Insurance,Gini Coefficient,Income Inequality (Gini Coefficient),,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
Economic & Insurance,Household Income,Household Income ($),,"ACS 5-Year, 2018 - 2022",https://data.census.gov/
