FIPS,County,State,name,name_short,designation
5001,Arkansas,AR,Delta,delta,Not Applicable
5017,Chicot,AR,Delta,delta,Not Applicable
5021,Clay,AR,Delta,delta,Not Applicable
5031,Craighead,AR,Delta,delta,Not Applicable
5035,Crittenden,AR,Delta,delta,Not Applicable
5037,Cross,AR,Delta,delta,Not Applicable
5041,Desha,AR,Delta,delta,Not Applicable
5055,Greene,AR,Delta,delta,Not Applicable
5077,Lee,AR,Delta,delta,Not Applicable
5093,Mississippi,AR,Delta,delta,Not Applicable
5095,Monroe,AR,Delta,delta,Not Applicable
5107,Phillips,AR,Delta,delta,Not Applicable
5111,Poinsett,AR,Delta,delta,Not Applicable
5123,St. Francis,AR,Delta,delta,Not Applicable
22021,Caldwell,LA,Delta,delta,Not Applicable
22025,Catahoula,LA,Delta,delta,Not Applicable
22029,Concordia,LA,Delta,delta,Not Applicable
22035,East Carroll,LA,Delta,delta,Not Applicable
22041,Franklin,LA,Delta,delta,Not Applicable
22059,La Salle,LA,Delta,delta,Not Applicable
22065,Madison,LA,Delta,delta,Not Applicable
22067,Morehouse,LA,Delta,delta,Not Applicable
22073,Ouachita,LA,Delta,delta,Not Applicable
22083,Richland,LA,Delta,delta,Not Applicable
22107,Tensas,LA,Delta,delta,Not Applicable
22123,West Carroll,LA,Delta,delta,Not Applicable
28011,Bolivar,MS,Delta,delta,Not Applicable
28015,Carroll,MS,Delta,delta,Not Applicable
28027,Coahoma,MS,Delta,delta,Not Applicable
28033,DeSoto,MS,Delta,delta,Not Applicable
28051,Holmes,MS,Delta,delta,Not Applicable
28053,Humphreys,MS,Delta,delta,Not Applicable
28055,Issaquena,MS,Delta,delta,Not Applicable
28083,Leflore,MS,Delta,delta,Not Applicable
28107,Panola,MS,Delta,delta,Not Applicable
28119,Quitman,MS,Delta,delta,Not Applicable
28125,Sharkey,MS,Delta,delta,Not Applicable
28133,Sunflower,MS,Delta,delta,Not Applicable
28135,Tallahatchie,MS,Delta,delta,Not Applicable
28137,Tate,MS,Delta,delta,Not Applicable
28143,Tunica,MS,Delta,delta,Not Applicable
28149,Warren,MS,Delta,delta,Not Applicable
28151,Washington,MS,Delta,delta,Not Applicable
28163,Yazoo,MS,Delta,delta,Not Applicable
