measure,def,fmt,source
Total,Total Population,int,"ACS 5-Year, 2018 - 2022"
Under 18,Under 18 Years Old,pct,"ACS 5-Year, 2018 - 2022"
18 to 64,18 to 64 Years Old,pct,"ACS 5-Year, 2018 - 2022"
Over 64,Over 64 Years Old,pct,"ACS 5-Year, 2018 - 2022"
Below 9th grade,Did Not Attend High School,pct,"ACS 5-Year, 2018 - 2022"
High School,Graduated High School,pct,"ACS 5-Year, 2018 - 2022"
College,Graduated College,pct,"ACS 5-Year, 2018 - 2022"
Advanced Degree,Completed a Graduate Degree,pct,"ACS 5-Year, 2018 - 2022"
White,White (non-Hispanic),pct,"ACS 5-Year, 2018 - 2022"
Black,Black (non-Hispanic),pct,"ACS 5-Year, 2018 - 2022"
Hispanic,Hispanic,pct,"ACS 5-Year, 2018 - 2022"
Asian,Asian (non-Hispanic),pct,"ACS 5-Year, 2018 - 2022"
Other Races,Other Non-Hispanic Race,pct,"ACS 5-Year, 2018 - 2022"
Urban Percentage,Urbanized Residents,pct,"US Census Bureau, 2020 Decennial Census"
Insurance Coverage,Insured,pct,"ACS 5-Year, 2018 - 2022"
Medicaid Enrollment,Enrolled in Medicaid,pct,"ACS 5-Year, 2018 - 2022"
Gini Coefficient,Income Inequality (Gini Coefficient),int,"ACS 5-Year, 2018 - 2022"
Household Income,Household Income ($),int,"ACS 5-Year, 2018 - 2022"
Annual Labor Force Participation Rate,Annual Labor Force Participation,pct,"ACS 5-Year, 2018 - 2022"
Annual Unemployment Rate,Annual Unemployment Rate,pct,"ACS 5-Year, 2018 - 2022"
Below Poverty,Living Below Poverty,pct,"ACS 5-Year, 2018 - 2022"
Uninsured,Uninsured,pct,"ACS 5-Year, 2018 - 2022"
Vacancy Rate,Vacant Housing,pct,"ACS 5-Year, 2018 - 2022"
No Vehicle,No Household Vehicle Access,pct,"ACS 5-Year, 2018 - 2022"
Rent Burden (40% Income),High Rent Burden,pct,"ACS 5-Year, 2018 - 2022"
Received Public Assistance,Received TANF or SNAP Public Assistance,pct,"ACS 5-Year, 2018 - 2022"
Lack English Prof,Lack Proficiency in English,pct,"ACS 5-Year, 2018 - 2022"
Median Home Value,Median Home Value ($),int,"ACS 5-Year, 2018 - 2022"
Median Monthly Mortgage,Median Monthly Mortgage ($),int,"ACS 5-Year, 2018 - 2022"
Median Gross Rent,Median Gross Rent ($),int,"ACS 5-Year, 2018 - 2022"
Mobile Homes,Housing in Mobile Homes,pct,"ACS 5-Year, 2018 - 2022"
Multi-Unit Structures,Housing in Multi-Unit Structures,pct,"ACS 5-Year, 2018 - 2022"
Owner Occupied Housing,Owner-occupied Housing Units,pct,"ACS 5-Year, 2018 - 2022"
Crowded Housing,Crowded Homes,pct,"ACS 5-Year, 2018 - 2022"
No Home Broadband,Homes without Broadband Internet,pct,"ACS 5-Year, 2018 - 2022"
Lack Complete Plumbing,Homes without Complete Plumbing,pct,"ACS 5-Year, 2018 - 2022"
Single Parent Household,Single Parent Homes,pct,"ACS 5-Year, 2018 - 2022"
Cancer Prevalence,History of Cancer Diagnosis,pct,"CDC Places, 2023"
Binge Drinking,Binge Drink,pct,"CDC Places, 2023"
Met Breast Screen,Met Breast Screening Recommendations,pct,"CDC Places, 2023  (HP2030 Goal: 80.5%)"
BMI Obese,Obese (BMI over 30),pct,"CDC Places, 2023 (HP2030 Goal: 36.0%)"
Currently Smoke,Currently Smoke (adults),pct,"CDC Places, 2023 (HP2030 Goal: 6.1%)"
Met Colon Screen,Met Colorectal Screening Recommendations,pct,"CDC Places, 2023 (HP2030 Goal: 74.4%)"
Met Cervical Screen,"Had Pap Test in Last 3 Years, Age 21-64",pct,"CDC Places, 2023 (HP2030 Goal: 84.3%)"
High BP,Have High Blood Pressure,pct,"CDC Places, 2023"
BP Medicine,On Blood Pressure Medication,pct,"CDC Places, 2023"
Asthma,Diagnosed with Asthma,pct,"CDC Places, 2023"
CHD,Have Coronary Heart Disease,pct,"CDC Places, 2023"
Recent Checkup,Had a Medical Checkup in the Last Year,pct,"CDC Places, 2023"
COPD,Have COPD,pct,"CDC Places, 2023"
Recent Dentist,Had a Dental Visit in the Last Year,pct,"CDC Places, 2023"
Depression,Have Depression,pct,"CDC Places, 2023"
Diabetes DX,Diagnosed with Diabetes,pct,"CDC Places, 2023"
Bad Health,Report Fair or Poor Overall Health,pct,"CDC Places, 2023"
Kidney Disease,Have Chronic Kidney Disease,pct,"CDC Places, 2023"
Physically Inactive,Physical Inactive,pct,"CDC Places, 2023"
Poor Mental,Report Frequent Mental Health Distress,pct,"CDC Places, 2023"
Poor Physical,Report Frequent Physical Health Distress,pct,"CDC Places, 2023"
Sleep Debt,Sleep < 7 Hours a Night,pct,"CDC Places, 2023"
Had Stroke,Had a Stroke,pct,"CDC Places, 2023"
No Teeth,All Adult Teeth Lost,pct,"CDC Places, 2023"
LILATracts Vehicle,Tracts that are Food Deserts,pct,"USDA ERS, 2019"
Lead Paint,Housing Units Built Pre-1960,pct,"EJScreen, 2023"
Diesel PM,Diesel Particulate Matter (annual avg. mcg/m^3),int,"EJScreen, 2023"
Air Toxics Cancer,Lifetime Cancer Risk from Air Toxics (per 1 million people),int,"EJScreen, 2023"
Air Toxics Resp,Air Toxics Respiratory Hazard Index,int,"EJScreen, 2023"
Toxics Release to Air,Toxic Releases to Air,int,"EJScreen, 2023"
Traffic Proximity,Traffic Volume,int,"EJScreen, 2023"
Water Discharge,Toxic Water Discharge,int,"EJScreen, 2023"
Superfund Proximity,Superfund Proximity,int,"EJScreen, 2023"
RMP Proximity,Risk Management Plan Facility Proximity,int,"EJScreen, 2023"
Hazardous Waste Proximity,Hazardous Waste Proximity,int,"EJScreen, 2023"
Ozone,Annual Ozone Average (ppm),int,"EJScreen, 2023"
Underground Storage Tanks,Underground Storage Tanks,int,"EJScreen, 2023"
PM25,Particulate Matter 2.5 (annual avg. mcg/m^3),int,"EJScreen, 2023"
Economic Segregation,Economic Segregation,int,"ACS 5-Year, 2018 - 2022"
Racial Segregation,Racial Segregation,int,"ACS 5-Year, 2018 - 2022"
Racial Economic Segregation,Racial Economic Segregation,int,"ACS 5-Year, 2018 - 2022"
Gender Pay Gap,Gender Pay Gap,int,"ACS 5-Year, 2018 - 2022"
Uninsured Children,Children without Health Insurance,pct,"ACS 5-Year, 2018 - 2022"
Uninsured (Black),Black Population without Health Insurance,pct,"ACS 5-Year, 2018 - 2022"
Uninsured (Hispanic),Hispanic Population without Health Insurance,pct,"ACS 5-Year, 2018 - 2022"
Living Below Poverty (Black),Black Population Living Below Poverty,pct,"ACS 5-Year, 2018 - 2022"
Living Below Poverty (Hispanic),Hispanic Population Living Below Poverty,pct,"ACS 5-Year, 2018 - 2022"
Incidence All Site,All Cancer Site ,int,"State Cancer Profiles, 2016 - 2020"
Incidence Bladder,Bladder Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Brain & ONS,Brain Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Colon & Rectum,Colorectal Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Esophagus,Esophageal Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Kidney & Renal Pelvis,Kidney Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Leukemia,Leukemia,int,"State Cancer Profiles, 2016 - 2020"
Incidence Liver & IBD,Liver Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Lung & Bronchus,Lung Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Melanoma of the Skin,Melanoma,int,"State Cancer Profiles, 2016 - 2020"
Incidence Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,int,"State Cancer Profiles, 2016 - 2020"
Incidence Oral Cavity & Pharynx,Oral Cavity and Pharynx Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Pancreas,Pancreatic Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Stomach,Stomach Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Thyroid,Thyroid Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Female Breast,Female Breast Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Cervix,Cervical Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Ovary,Ovarian Cancer,int,"State Cancer Profiles, 2016 - 2020"
"Incidence Corpus Uteri & Uterus, NOS",Uterine Cancer,int,"State Cancer Profiles, 2016 - 2020"
Incidence Prostate,Prostate Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality All Site,All Cancer Site ,int,"State Cancer Profiles, 2016 - 2020"
Mortality Bladder,Bladder Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Brain & ONS,Brain Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Colon & Rectum,Colorectal Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Esophagus,Esophageal Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Kidney & Renal Pelvis,Kidney Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Leukemia,Leukemia,int,"State Cancer Profiles, 2016 - 2020"
Mortality Liver & IBD,Liver Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Lung & Bronchus,Lung Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Melanoma of the Skin,Melanoma,int,"State Cancer Profiles, 2016 - 2020"
Mortality Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,int,"State Cancer Profiles, 2016 - 2020"
Mortality Oral Cavity & Pharynx,Oral Cavity and Pharynx Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Pancreas,Pancreatic Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Stomach,Stomach Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Thyroid,Thyroid Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Female Breast,Female Breast Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Cervix,Cervical Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Ovary,Ovarian Cancer,int,"State Cancer Profiles, 2016 - 2020"
"Mortality Corpus Uteri & Uterus, NOS",Uterine Cancer,int,"State Cancer Profiles, 2016 - 2020"
Mortality Prostate,Prostate Cancer,int,"State Cancer Profiles, 2016 - 2020"
pctBB 100 20,Housing Units with 100/20 Mbps Broadband Service,pct,"FCC, June 2023"
pctBB 1000 10,Housing Units with 1000/10 Mbps Broadband Service,pct,"FCC, June 2023"
pct5G 7 1,Area with 7/1 Mbps Mobile 5G Coverage,pct,"FCC, June 2023"
pct5G 35 3,Area with 35/3 Mbps Mobile 5G Coverage,pct,"FCC, June 2023"
