FIPS,County,State,name,name_short,designation
5001,Arkansas,AR,Delta,delta,Not Applicable
5017,Chicot,AR,Delta,delta,Not Applicable
5021,Clay,AR,Delta,delta,Not Applicable
5031,Craighead,AR,Delta,delta,Not Applicable
5035,Crittenden,AR,Delta,delta,Not Applicable
5037,Cross,AR,Delta,delta,Not Applicable
5041,Desha,AR,Delta,delta,Not Applicable
5055,Greene,AR,Delta,delta,Not Applicable
5077,Lee,AR,Delta,delta,Not Applicable
5093,Mississippi,AR,Delta,delta,Not Applicable
5095,Monroe,AR,Delta,delta,Not Applicable
5107,Phillips,AR,Delta,delta,Not Applicable
5111,Poinsett,AR,Delta,delta,Not Applicable
5123,St. Francis,AR,Delta,delta,Not Applicable
22021,Caldwell,LA,Delta,delta,Not Applicable
22025,Catahoula,LA,Delta,delta,Not Applicable
22029,Concordia,LA,Delta,delta,Not Applicable
22035,East Carroll,LA,Delta,delta,Not Applicable
22041,Franklin,LA,Delta,delta,Not Applicable
22059,La Salle,LA,Delta,delta,Not Applicable
22065,Madison,LA,Delta,delta,Not Applicable
22067,Morehouse,LA,Delta,delta,Not Applicable
22073,Ouachita,LA,Delta,delta,Not Applicable
22083,Richland,LA,Delta,delta,Not Applicable
22107,Tensas,LA,Delta,delta,Not Applicable
22123,West Carroll,LA,Delta,delta,Not Applicable
28011,Bolivar,MS,Delta,delta,Not Applicable
28015,Carroll,MS,Delta,delta,Not Applicable
28027,Coahoma,MS,Delta,delta,Not Applicable
28033,DeSoto,MS,Delta,delta,Not Applicable
28051,Holmes,MS,Delta,delta,Not Applicable
28053,Humphreys,MS,Delta,delta,Not Applicable
28055,Issaquena,MS,Delta,delta,Not Applicable
28083,Leflore,MS,Delta,delta,Not Applicable
28107,Panola,MS,Delta,delta,Not Applicable
28119,Quitman,MS,Delta,delta,Not Applicable
28125,Sharkey,MS,Delta,delta,Not Applicable
28133,Sunflower,MS,Delta,delta,Not Applicable
28135,Tallahatchie,MS,Delta,delta,Not Applicable
28137,Tate,MS,Delta,delta,Not Applicable
28143,Tunica,MS,Delta,delta,Not Applicable
28149,Warren,MS,Delta,delta,Not Applicable
28151,Washington,MS,Delta,delta,Not Applicable
28163,Yazoo,MS,Delta,delta,Not Applicable
1097,Mobile,AL,Deep South,deep_south,Not Applicable
1003,Baldwin,AL,Deep South,deep_south,Not Applicable
1023,Choctaw,AL,Deep South,deep_south,Not Applicable
1025,Clarke,AL,Deep South,deep_south,Not Applicable
1091,Marengo,AL,Deep South,deep_south,Not Applicable
1129,Washington,AL,Deep South,deep_south,Not Applicable
1035,Conecuh,AL,Deep South,deep_south,Not Applicable
1053,Escambia,AL,Deep South,deep_south,Not Applicable
1099,Monroe,AL,Deep South,deep_south,Not Applicable
1047,Dallas,AL,Deep South,deep_south,Not Applicable
1131,Wilcox,AL,Deep South,deep_south,Not Applicable
1001,Autauga,AL,Deep South,deep_south,Not Applicable
1013,Butler,AL,Deep South,deep_south,Not Applicable
1085,Lowndes,AL,Deep South,deep_south,Not Applicable
1063,Greene,AL,Deep South,deep_south,Not Applicable
1107,Pickens,AL,Deep South,deep_south,Not Applicable
1119,Sumter,AL,Deep South,deep_south,Not Applicable
1075,Lamar,AL,Deep South,deep_south,Not Applicable
1093,Marion,AL,Deep South,deep_south,Not Applicable
1007,Bibb,AL,Deep South,deep_south,Not Applicable
1021,Chilton,AL,Deep South,deep_south,Not Applicable
1065,Hale,AL,Deep South,deep_south,Not Applicable
1105,Perry,AL,Deep South,deep_south,Not Applicable
1117,Shelby,AL,Deep South,deep_south,Not Applicable
1125,Tuscaloosa,AL,Deep South,deep_south,Not Applicable
1009,Blount,AL,Deep South,deep_south,Not Applicable
1043,Cullman,AL,Deep South,deep_south,Not Applicable
1057,Fayette,AL,Deep South,deep_south,Not Applicable
1073,Jefferson,AL,Deep South,deep_south,Not Applicable
1127,Walker,AL,Deep South,deep_south,Not Applicable
1031,Coffee,AL,Deep South,deep_south,Not Applicable
1039,Covington,AL,Deep South,deep_south,Not Applicable
1045,Dale,AL,Deep South,deep_south,Not Applicable
1061,Geneva,AL,Deep South,deep_south,Not Applicable
1067,Henry,AL,Deep South,deep_south,Not Applicable
1069,Houston,AL,Deep South,deep_south,Not Applicable
1041,Crenshaw,AL,Deep South,deep_south,Not Applicable
1101,Montgomery,AL,Deep South,deep_south,Not Applicable
1109,Pike,AL,Deep South,deep_south,Not Applicable
1005,Barbour,AL,Deep South,deep_south,Not Applicable
1011,Bullock,AL,Deep South,deep_south,Not Applicable
1087,Macon,AL,Deep South,deep_south,Not Applicable
1113,Russell,AL,Deep South,deep_south,Not Applicable
1017,Chambers,AL,Deep South,deep_south,Not Applicable
1027,Clay,AL,Deep South,deep_south,Not Applicable
1037,Coosa,AL,Deep South,deep_south,Not Applicable
1051,Elmore,AL,Deep South,deep_south,Not Applicable
1081,Lee,AL,Deep South,deep_south,Not Applicable
1111,Randolph,AL,Deep South,deep_south,Not Applicable
1123,Tallapoosa,AL,Deep South,deep_south,Not Applicable
1015,Calhoun,AL,Deep South,deep_south,Not Applicable
1029,Cleburne,AL,Deep South,deep_south,Not Applicable
1055,Etowah,AL,Deep South,deep_south,Not Applicable
1115,St. Clair,AL,Deep South,deep_south,Not Applicable
1121,Talladega,AL,Deep South,deep_south,Not Applicable
1059,Franklin,AL,Deep South,deep_south,Not Applicable
1033,Colbert,AL,Deep South,deep_south,Not Applicable
1077,Lauderdale,AL,Deep South,deep_south,Not Applicable
1079,Lawrence,AL,Deep South,deep_south,Not Applicable
1083,Limestone,AL,Deep South,deep_south,Not Applicable
1089,Madison,AL,Deep South,deep_south,Not Applicable
1103,Morgan,AL,Deep South,deep_south,Not Applicable
1133,Winston,AL,Deep South,deep_south,Not Applicable
1019,Cherokee,AL,Deep South,deep_south,Not Applicable
1049,DeKalb,AL,Deep South,deep_south,Not Applicable
1071,Jackson,AL,Deep South,deep_south,Not Applicable
1095,Marshall,AL,Deep South,deep_south,Not Applicable
13087,Decatur,GA,Deep South,deep_south,Not Applicable
13253,Seminole,GA,Deep South,deep_south,Not Applicable
13131,Grady,GA,Deep South,deep_south,Not Applicable
13275,Thomas,GA,Deep South,deep_south,Not Applicable
13007,Baker,GA,Deep South,deep_south,Not Applicable
13037,Calhoun,GA,Deep South,deep_south,Not Applicable
13061,Clay,GA,Deep South,deep_south,Not Applicable
13095,Dougherty,GA,Deep South,deep_south,Not Applicable
13099,Early,GA,Deep South,deep_south,Not Applicable
13201,Miller,GA,Deep South,deep_south,Not Applicable
13205,Mitchell,GA,Deep South,deep_south,Not Applicable
13321,Worth,GA,Deep South,deep_south,Not Applicable
13053,Chattahoochee,GA,Deep South,deep_south,Not Applicable
13197,Marion,GA,Deep South,deep_south,Not Applicable
13215,Muscogee,GA,Deep South,deep_south,Not Applicable
13239,Quitman,GA,Deep South,deep_south,Not Applicable
13243,Randolph,GA,Deep South,deep_south,Not Applicable
13259,Stewart,GA,Deep South,deep_south,Not Applicable
13307,Webster,GA,Deep South,deep_south,Not Applicable
13177,Lee,GA,Deep South,deep_south,Not Applicable
13193,Macon,GA,Deep South,deep_south,Not Applicable
13249,Schley,GA,Deep South,deep_south,Not Applicable
13261,Sumter,GA,Deep South,deep_south,Not Applicable
13273,Terrell,GA,Deep South,deep_south,Not Applicable
13143,Haralson,GA,Deep South,deep_south,Not Applicable
13233,Polk,GA,Deep South,deep_south,Not Applicable
13145,Harris,GA,Deep South,deep_south,Not Applicable
13149,Heard,GA,Deep South,deep_south,Not Applicable
13199,Meriwether,GA,Deep South,deep_south,Not Applicable
13263,Talbot,GA,Deep South,deep_south,Not Applicable
13285,Troup,GA,Deep South,deep_south,Not Applicable
13079,Crawford,GA,Deep South,deep_south,Not Applicable
13225,Peach,GA,Deep South,deep_south,Not Applicable
13269,Taylor,GA,Deep South,deep_south,Not Applicable
13293,Upson,GA,Deep South,deep_south,Not Applicable
13035,Butts,GA,Deep South,deep_south,Not Applicable
13171,Lamar,GA,Deep South,deep_south,Not Applicable
13207,Monroe,GA,Deep South,deep_south,Not Applicable
13231,Pike,GA,Deep South,deep_south,Not Applicable
13255,Spalding,GA,Deep South,deep_south,Not Applicable
13045,Carroll,GA,Deep South,deep_south,Not Applicable
13067,Cobb,GA,Deep South,deep_south,Not Applicable
13077,Coweta,GA,Deep South,deep_south,Not Applicable
13097,Douglas,GA,Deep South,deep_south,Not Applicable
13113,Fayette,GA,Deep South,deep_south,Not Applicable
13223,Paulding,GA,Deep South,deep_south,Not Applicable
13063,Clayton,GA,Deep South,deep_south,Not Applicable
13151,Henry,GA,Deep South,deep_south,Not Applicable
13217,Newton,GA,Deep South,deep_south,Not Applicable
13247,Rockdale,GA,Deep South,deep_south,Not Applicable
13089,DeKalb,GA,Deep South,deep_south,Not Applicable
13121,Fulton,GA,Deep South,deep_south,Not Applicable
13135,Gwinnett,GA,Deep South,deep_south,Not Applicable
13055,Chattooga,GA,Deep South,deep_south,Not Applicable
13083,Dade,GA,Deep South,deep_south,Not Applicable
13115,Floyd,GA,Deep South,deep_south,Not Applicable
13295,Walker,GA,Deep South,deep_south,Not Applicable
13015,Bartow,GA,Deep South,deep_south,Not Applicable
13047,Catoosa,GA,Deep South,deep_south,Not Applicable
13129,Gordon,GA,Deep South,deep_south,Not Applicable
13213,Murray,GA,Deep South,deep_south,Not Applicable
13313,Whitfield,GA,Deep South,deep_south,Not Applicable
13057,Cherokee,GA,Deep South,deep_south,Not Applicable
13085,Dawson,GA,Deep South,deep_south,Not Applicable
