FIPS,County,State,name,name_short,designation
2198,Prince of Wales-Hyder Census Area,AK,United States,AK,Not Designated
2164,Lake and Peninsula Borough,AK,United States,AK,Not Designated
2195,Petersburg Borough,AK,United States,AK,Not Designated
2100,Haines Borough,AK,United States,AK,Not Designated
2122,Kenai Peninsula Borough,AK,United States,AK,Not Designated
2150,Kodiak Island Borough,AK,United States,AK,Not Designated
2180,Nome Census Area,AK,United States,AK,Not Designated
2158,Kusilvak Census Area,AK,United States,AK,Not Designated
2290,Yukon-Koyukuk Census Area,AK,United States,AK,Not Designated
2130,Ketchikan Gateway Borough,AK,United States,AK,Not Designated
2063,Chugach Census Area,AK,United States,AK,Not Designated
2185,North Slope Borough,AK,United States,AK,Not Designated
2013,Aleutians East Borough,AK,United States,AK,Not Designated
2105,Hoonah-Angoon Census Area,AK,United States,AK,Not Designated
2050,Bethel Census Area,AK,United States,AK,Not Designated
2275,Wrangell City and Borough,AK,United States,AK,Not Designated
2230,Skagway Municipality,AK,United States,AK,Not Designated
2188,Northwest Arctic Borough,AK,United States,AK,Not Designated
2240,Southeast Fairbanks Census Area,AK,United States,AK,Not Designated
2068,Denali Borough,AK,United States,AK,Not Designated
2016,Aleutians West Census Area,AK,United States,AK,Not Designated
2070,Dillingham Census Area,AK,United States,AK,Not Designated
2110,Juneau City and Borough,AK,United States,AK,Not Designated
2066,Copper River Census Area,AK,United States,AK,Not Designated
2090,Fairbanks North Star Borough,AK,United States,AK,Not Designated
2282,Yakutat City and Borough,AK,United States,AK,Not Designated
2060,Bristol Bay Borough,AK,United States,AK,Not Designated
2020,Anchorage Municipality,AK,United States,AK,Not Designated
2220,Sitka City and Borough,AK,United States,AK,Not Designated
2170,Matanuska-Susitna Borough,AK,United States,AK,Not Designated
