FIPS,County,State,name,name_short,designation
1097,Mobile,AL,United States,AL,Not Designated
1003,Baldwin,AL,United States,AL,Not Designated
1023,Choctaw,AL,United States,AL,Not Designated
1025,Clarke,AL,United States,AL,Not Designated
1091,Marengo,AL,United States,AL,Not Designated
1129,Washington,AL,United States,AL,Not Designated
1035,Conecuh,AL,United States,AL,Not Designated
1053,Escambia,AL,United States,AL,Not Designated
1099,Monroe,AL,United States,AL,Not Designated
1047,Dallas,AL,United States,AL,Not Designated
1131,Wilcox,AL,United States,AL,Not Designated
1001,Autauga,AL,United States,AL,Not Designated
1013,Butler,AL,United States,AL,Not Designated
1085,Lowndes,AL,United States,AL,Not Designated
1063,Greene,AL,United States,AL,Not Designated
1107,Pickens,AL,United States,AL,Not Designated
1119,Sumter,AL,United States,AL,Not Designated
1075,Lamar,AL,United States,AL,Not Designated
1093,Marion,AL,United States,AL,Not Designated
1007,Bibb,AL,United States,AL,Not Designated
1021,Chilton,AL,United States,AL,Not Designated
1065,Hale,AL,United States,AL,Not Designated
1105,Perry,AL,United States,AL,Not Designated
1117,Shelby,AL,United States,AL,Not Designated
1125,Tuscaloosa,AL,United States,AL,Not Designated
1009,Blount,AL,United States,AL,Not Designated
1043,Cullman,AL,United States,AL,Not Designated
1057,Fayette,AL,United States,AL,Not Designated
1073,Jefferson,AL,United States,AL,Not Designated
1127,Walker,AL,United States,AL,Not Designated
1031,Coffee,AL,United States,AL,Not Designated
1039,Covington,AL,United States,AL,Not Designated
1045,Dale,AL,United States,AL,Not Designated
1061,Geneva,AL,United States,AL,Not Designated
1067,Henry,AL,United States,AL,Not Designated
1069,Houston,AL,United States,AL,Not Designated
1041,Crenshaw,AL,United States,AL,Not Designated
1101,Montgomery,AL,United States,AL,Not Designated
1109,Pike,AL,United States,AL,Not Designated
1005,Barbour,AL,United States,AL,Not Designated
1011,Bullock,AL,United States,AL,Not Designated
1087,Macon,AL,United States,AL,Not Designated
1113,Russell,AL,United States,AL,Not Designated
1017,Chambers,AL,United States,AL,Not Designated
1027,Clay,AL,United States,AL,Not Designated
1037,Coosa,AL,United States,AL,Not Designated
1051,Elmore,AL,United States,AL,Not Designated
1081,Lee,AL,United States,AL,Not Designated
1111,Randolph,AL,United States,AL,Not Designated
1123,Tallapoosa,AL,United States,AL,Not Designated
1015,Calhoun,AL,United States,AL,Not Designated
1029,Cleburne,AL,United States,AL,Not Designated
1055,Etowah,AL,United States,AL,Not Designated
1115,St. Clair,AL,United States,AL,Not Designated
1121,Talladega,AL,United States,AL,Not Designated
1059,Franklin,AL,United States,AL,Not Designated
1033,Colbert,AL,United States,AL,Not Designated
1077,Lauderdale,AL,United States,AL,Not Designated
1079,Lawrence,AL,United States,AL,Not Designated
1083,Limestone,AL,United States,AL,Not Designated
1089,Madison,AL,United States,AL,Not Designated
1103,Morgan,AL,United States,AL,Not Designated
1133,Winston,AL,United States,AL,Not Designated
1019,Cherokee,AL,United States,AL,Not Designated
1049,DeKalb,AL,United States,AL,Not Designated
1071,Jackson,AL,United States,AL,Not Designated
1095,Marshall,AL,United States,AL,Not Designated
5091,Miller,AR,United States,AR,Not Designated
5027,Columbia,AR,United States,AR,Not Designated
5073,Lafayette,AR,United States,AR,Not Designated
5061,Howard,AR,United States,AR,Not Designated
5081,Little River,AR,United States,AR,Not Designated
5133,Sevier,AR,United States,AR,Not Designated
5057,Hempstead,AR,United States,AR,Not Designated
5019,Clark,AR,United States,AR,Not Designated
5099,Nevada,AR,United States,AR,Not Designated
5003,Ashley,AR,United States,AR,Not Designated
5139,Union,AR,United States,AR,Not Designated
5013,Calhoun,AR,United States,AR,Not Designated
5039,Dallas,AR,United States,AR,Not Designated
5103,Ouachita,AR,United States,AR,Not Designated
5011,Bradley,AR,United States,AR,Not Designated
5025,Cleveland,AR,United States,AR,Not Designated
5043,Drew,AR,United States,AR,Not Designated
5017,Chicot,AR,United States,AR,Not Designated
5041,Desha,AR,United States,AR,Not Designated
5079,Lincoln,AR,United States,AR,Not Designated
5051,Garland,AR,United States,AR,Not Designated
5097,Montgomery,AR,United States,AR,Not Designated
5109,Pike,AR,United States,AR,Not Designated
5113,Polk,AR,United States,AR,Not Designated
5127,Scott,AR,United States,AR,Not Designated
5033,Crawford,AR,United States,AR,Not Designated
5047,Franklin,AR,United States,AR,Not Designated
5071,Johnson,AR,United States,AR,Not Designated
5083,Logan,AR,United States,AR,Not Designated
5115,Pope,AR,United States,AR,Not Designated
5131,Sebastian,AR,United States,AR,Not Designated
5149,Yell,AR,United States,AR,Not Designated
5053,Grant,AR,United States,AR,Not Designated
5059,Hot Spring,AR,United States,AR,Not Designated
5105,Perry,AR,United States,AR,Not Designated
5119,Pulaski,AR,United States,AR,Not Designated
5125,Saline,AR,United States,AR,Not Designated
5069,Jefferson,AR,United States,AR,Not Designated
5085,Lonoke,AR,United States,AR,Not Designated
5029,Conway,AR,United States,AR,Not Designated
5141,Van Buren,AR,United States,AR,Not Designated
5023,Cleburne,AR,United States,AR,Not Designated
5045,Faulkner,AR,United States,AR,Not Designated
5145,White,AR,United States,AR,Not Designated
5007,Benton,AR,United States,AR,Not Designated
5009,Boone,AR,United States,AR,Not Designated
5015,Carroll,AR,United States,AR,Not Designated
5087,Madison,AR,United States,AR,Not Designated
5101,Newton,AR,United States,AR,Not Designated
5143,Washington,AR,United States,AR,Not Designated
5005,Baxter,AR,United States,AR,Not Designated
5049,Fulton,AR,United States,AR,Not Designated
5065,Izard,AR,United States,AR,Not Designated
5089,Marion,AR,United States,AR,Not Designated
5129,Searcy,AR,United States,AR,Not Designated
5137,Stone,AR,United States,AR,Not Designated
5001,Arkansas,AR,United States,AR,Not Designated
5077,Lee,AR,United States,AR,Not Designated
5095,Monroe,AR,United States,AR,Not Designated
5107,Phillips,AR,United States,AR,Not Designated
5117,Prairie,AR,United States,AR,Not Designated
5037,Cross,AR,United States,AR,Not Designated
5063,Independence,AR,United States,AR,Not Designated
5067,Jackson,AR,United States,AR,Not Designated
5111,Poinsett,AR,United States,AR,Not Designated
5123,St. Francis,AR,United States,AR,Not Designated
5147,Woodruff,AR,United States,AR,Not Designated
5035,Crittenden,AR,United States,AR,Not Designated
5093,Mississippi,AR,United States,AR,Not Designated
5021,Clay,AR,United States,AR,Not Designated
5031,Craighead,AR,United States,AR,Not Designated
5055,Greene,AR,United States,AR,Not Designated
5075,Lawrence,AR,United States,AR,Not Designated
5121,Randolph,AR,United States,AR,Not Designated
5135,Sharp,AR,United States,AR,Not Designated
4012,La Paz,AZ,United States,AZ,Not Designated
4027,Yuma,AZ,United States,AZ,Not Designated
4019,Pima,AZ,United States,AZ,Not Designated
4023,Santa Cruz,AZ,United States,AZ,Not Designated
4013,Maricopa,AZ,United States,AZ,Not Designated
4021,Pinal,AZ,United States,AZ,Not Designated
4007,Gila,AZ,United States,AZ,Not Designated
4015,Mohave,AZ,United States,AZ,Not Designated
4025,Yavapai,AZ,United States,AZ,Not Designated
4005,Coconino,AZ,United States,AZ,Not Designated
4017,Navajo,AZ,United States,AZ,Not Designated
4003,Cochise,AZ,United States,AZ,Not Designated
4009,Graham,AZ,United States,AZ,Not Designated
4011,Greenlee,AZ,United States,AZ,Not Designated
4001,Apache,AZ,United States,AZ,Not Designated
6053,Monterey,CA,United States,CA,Not Designated
6087,Santa Cruz,CA,United States,CA,Not Designated
6085,Santa Clara,CA,United States,CA,Not Designated
6069,San Benito,CA,United States,CA,Not Designated
6111,Ventura,CA,United States,CA,Not Designated
6037,Los Angeles,CA,United States,CA,Not Designated
6073,San Diego,CA,United States,CA,Not Designated
6059,Orange,CA,United States,CA,Not Designated
6065,Riverside,CA,United States,CA,Not Designated
6083,Santa Barbara,CA,United States,CA,Not Designated
6079,San Luis Obispo,CA,United States,CA,Not Designated
6029,Kern,CA,United States,CA,Not Designated
6031,Kings,CA,United States,CA,Not Designated
6047,Merced,CA,United States,CA,Not Designated
6019,Fresno,CA,United States,CA,Not Designated
6039,Madera,CA,United States,CA,Not Designated
6107,Tulare,CA,United States,CA,Not Designated
6027,Inyo,CA,United States,CA,Not Designated
6071,San Bernardino,CA,United States,CA,Not Designated
6045,Mendocino,CA,United States,CA,Not Designated
6075,San Francisco,CA,United States,CA,Not Designated
6041,Marin,CA,United States,CA,Not Designated
6081,San Mateo,CA,United States,CA,Not Designated
6013,Contra Costa,CA,United States,CA,Not Designated
6097,Sonoma,CA,United States,CA,Not Designated
6055,Napa,CA,United States,CA,Not Designated
6095,Solano,CA,United States,CA,Not Designated
6001,Alameda,CA,United States,CA,Not Designated
6077,San Joaquin,CA,United States,CA,Not Designated
6099,Stanislaus,CA,United States,CA,Not Designated
6067,Sacramento,CA,United States,CA,Not Designated
6113,Yolo,CA,United States,CA,Not Designated
6011,Colusa,CA,United States,CA,Not Designated
6021,Glenn,CA,United States,CA,Not Designated
6033,Lake,CA,United States,CA,Not Designated
6103,Tehama,CA,United States,CA,Not Designated
6007,Butte,CA,United States,CA,Not Designated
6101,Sutter,CA,United States,CA,Not Designated
6115,Yuba,CA,United States,CA,Not Designated
6061,Placer,CA,United States,CA,Not Designated
6035,Lassen,CA,United States,CA,Not Designated
6063,Plumas,CA,United States,CA,Not Designated
6023,Humboldt,CA,United States,CA,Not Designated
6015,Del Norte,CA,United States,CA,Not Designated
6105,Trinity,CA,United States,CA,Not Designated
6089,Shasta,CA,United States,CA,Not Designated
6093,Siskiyou,CA,United States,CA,Not Designated
6049,Modoc,CA,United States,CA,Not Designated
6009,Calaveras,CA,United States,CA,Not Designated
6043,Mariposa,CA,United States,CA,Not Designated
6109,Tuolumne,CA,United States,CA,Not Designated
6005,Amador,CA,United States,CA,Not Designated
6017,El Dorado,CA,United States,CA,Not Designated
6003,Alpine,CA,United States,CA,Not Designated
6051,Mono,CA,United States,CA,Not Designated
6057,Nevada,CA,United States,CA,Not Designated
6091,Sierra,CA,United States,CA,Not Designated
6025,Imperial,CA,United States,CA,Not Designated
8067,La Plata,CO,United States,CO,Not Designated
8083,Montezuma,CO,United States,CO,Not Designated
8007,Archuleta,CO,United States,CO,Not Designated
8021,Conejos,CO,United States,CO,Not Designated
8023,Costilla,CO,United States,CO,Not Designated
8033,Dolores,CO,United States,CO,Not Designated
8091,Ouray,CO,United States,CO,Not Designated
8111,San Juan,CO,United States,CO,Not Designated
8113,San Miguel,CO,United States,CO,Not Designated
8029,Delta,CO,United States,CO,Not Designated
8077,Mesa,CO,United States,CO,Not Designated
8085,Montrose,CO,United States,CO,Not Designated
8045,Garfield,CO,United States,CO,Not Designated
8103,Rio Blanco,CO,United States,CO,Not Designated
8053,Hinsdale,CO,United States,CO,Not Designated
8079,Mineral,CO,United States,CO,Not Designated
8105,Rio Grande,CO,United States,CO,Not Designated
8109,Saguache,CO,United States,CO,Not Designated
8015,Chaffee,CO,United States,CO,Not Designated
8051,Gunnison,CO,United States,CO,Not Designated
8003,Alamosa,CO,United States,CO,Not Designated
8027,Custer,CO,United States,CO,Not Designated
8043,Fremont,CO,United States,CO,Not Designated
8055,Huerfano,CO,United States,CO,Not Designated
8119,Teller,CO,United States,CO,Not Designated
8037,Eagle,CO,United States,CO,Not Designated
8065,Lake,CO,United States,CO,Not Designated
8097,Pitkin,CO,United States,CO,Not Designated
8107,Routt,CO,United States,CO,Not Designated
8019,Clear Creek,CO,United States,CO,Not Designated
8093,Park,CO,United States,CO,Not Designated
8117,Summit,CO,United States,CO,Not Designated
8035,Douglas,CO,United States,CO,Not Designated
8059,Jefferson,CO,United States,CO,Not Designated
8013,Boulder,CO,United States,CO,Not Designated
8014,Broomfield,CO,United States,CO,Not Designated
8047,Gilpin,CO,United States,CO,Not Designated
8049,Grand,CO,United States,CO,Not Designated
8081,Moffat,CO,United States,CO,Not Designated
8057,Jackson,CO,United States,CO,Not Designated
8069,Larimer,CO,United States,CO,Not Designated
8009,Baca,CO,United States,CO,Not Designated
8011,Bent,CO,United States,CO,Not Designated
8017,Cheyenne,CO,United States,CO,Not Designated
