FIPS,County,State,name,name_short,designation
21075,Fulton,KY,United States,KY,Not Designated
21007,Ballard,KY,United States,KY,Not Designated
21039,Carlisle,KY,United States,KY,Not Designated
21083,Graves,KY,United States,KY,Not Designated
21105,Hickman,KY,United States,KY,Not Designated
21145,McCracken,KY,United States,KY,Not Designated
21033,Caldwell,KY,United States,KY,Not Designated
21035,Calloway,KY,United States,KY,Not Designated
21055,Crittenden,KY,United States,KY,Not Designated
21139,Livingston,KY,United States,KY,Not Designated
21143,Lyon,KY,United States,KY,Not Designated
21157,Marshall,KY,United States,KY,Not Designated
21221,Trigg,KY,United States,KY,Not Designated
21047,Christian,KY,United States,KY,Not Designated
21107,Hopkins,KY,United States,KY,Not Designated
21177,Muhlenberg,KY,United States,KY,Not Designated
21219,Todd,KY,United States,KY,Not Designated
21031,Butler,KY,United States,KY,Not Designated
21141,Logan,KY,United States,KY,Not Designated
21213,Simpson,KY,United States,KY,Not Designated
21003,Allen,KY,United States,KY,Not Designated
21009,Barren,KY,United States,KY,Not Designated
21061,Edmonson,KY,United States,KY,Not Designated
21099,Hart,KY,United States,KY,Not Designated
21227,Warren,KY,United States,KY,Not Designated
21001,Adair,KY,United States,KY,Not Designated
21057,Cumberland,KY,United States,KY,Not Designated
21087,Green,KY,United States,KY,Not Designated
21169,Metcalfe,KY,United States,KY,Not Designated
21171,Monroe,KY,United States,KY,Not Designated
21217,Taylor,KY,United States,KY,Not Designated
21045,Casey,KY,United States,KY,Not Designated
21053,Clinton,KY,United States,KY,Not Designated
21147,McCreary,KY,United States,KY,Not Designated
21199,Pulaski,KY,United States,KY,Not Designated
21207,Russell,KY,United States,KY,Not Designated
21231,Wayne,KY,United States,KY,Not Designated
21125,Laurel,KY,United States,KY,Not Designated
21203,Rockcastle,KY,United States,KY,Not Designated
21235,Whitley,KY,United States,KY,Not Designated
21225,Union,KY,United States,KY,Not Designated
21101,Henderson,KY,United States,KY,Not Designated
21149,McLean,KY,United States,KY,Not Designated
21233,Webster,KY,United States,KY,Not Designated
21059,Daviess,KY,United States,KY,Not Designated
21183,Ohio,KY,United States,KY,Not Designated
21091,Hancock,KY,United States,KY,Not Designated
21027,Breckinridge,KY,United States,KY,Not Designated
21085,Grayson,KY,United States,KY,Not Designated
21093,Hardin,KY,United States,KY,Not Designated
21163,Meade,KY,United States,KY,Not Designated
21123,Larue,KY,United States,KY,Not Designated
21155,Marion,KY,United States,KY,Not Designated
