FIPS,County,State,name,name_short,designation
39015,Brown,OH,United States,OH,Not Designated
39017,Butler,OH,United States,OH,Not Designated
39025,Clermont,OH,United States,OH,Not Designated
39057,Greene,OH,United States,OH,Not Designated
39061,Hamilton,OH,United States,OH,Not Designated
39113,Montgomery,OH,United States,OH,Not Designated
39135,Preble,OH,United States,OH,Not Designated
39165,Warren,OH,United States,OH,Not Designated
39011,Auglaize,OH,United States,OH,Not Designated
39037,Darke,OH,United States,OH,Not Designated
39107,Mercer,OH,United States,OH,Not Designated
39109,Miami,OH,United States,OH,Not Designated
39149,Shelby,OH,United States,OH,Not Designated
39003,Allen,OH,United States,OH,Not Designated
39039,Defiance,OH,United States,OH,Not Designated
39051,Fulton,OH,United States,OH,Not Designated
39069,Henry,OH,United States,OH,Not Designated
39125,Paulding,OH,United States,OH,Not Designated
39137,Putnam,OH,United States,OH,Not Designated
39161,Van Wert,OH,United States,OH,Not Designated
39171,Williams,OH,United States,OH,Not Designated
39001,Adams,OH,United States,OH,Not Designated
39087,Lawrence,OH,United States,OH,Not Designated
39145,Scioto,OH,United States,OH,Not Designated
39053,Gallia,OH,United States,OH,Not Designated
39027,Clinton,OH,United States,OH,Not Designated
39045,Fairfield,OH,United States,OH,Not Designated
39047,Fayette,OH,United States,OH,Not Designated
39071,Highland,OH,United States,OH,Not Designated
39079,Jackson,OH,United States,OH,Not Designated
39129,Pickaway,OH,United States,OH,Not Designated
39131,Pike,OH,United States,OH,Not Designated
39141,Ross,OH,United States,OH,Not Designated
39021,Champaign,OH,United States,OH,Not Designated
39023,Clark,OH,United States,OH,Not Designated
39041,Delaware,OH,United States,OH,Not Designated
39049,Franklin,OH,United States,OH,Not Designated
39083,Knox,OH,United States,OH,Not Designated
39091,Logan,OH,United States,OH,Not Designated
39097,Madison,OH,United States,OH,Not Designated
39101,Marion,OH,United States,OH,Not Designated
39117,Morrow,OH,United States,OH,Not Designated
39159,Union,OH,United States,OH,Not Designated
39009,Athens,OH,United States,OH,Not Designated
39073,Hocking,OH,United States,OH,Not Designated
39105,Meigs,OH,United States,OH,Not Designated
39127,Perry,OH,United States,OH,Not Designated
39163,Vinton,OH,United States,OH,Not Designated
39115,Morgan,OH,United States,OH,Not Designated
39121,Noble,OH,United States,OH,Not Designated
39167,Washington,OH,United States,OH,Not Designated
39031,Coshocton,OH,United States,OH,Not Designated
39059,Guernsey,OH,United States,OH,Not Designated
39075,Holmes,OH,United States,OH,Not Designated
39089,Licking,OH,United States,OH,Not Designated
39119,Muskingum,OH,United States,OH,Not Designated
39157,Tuscarawas,OH,United States,OH,Not Designated
39111,Monroe,OH,United States,OH,Not Designated
39013,Belmont,OH,United States,OH,Not Designated
39019,Carroll,OH,United States,OH,Not Designated
39067,Harrison,OH,United States,OH,Not Designated
39081,Jefferson,OH,United States,OH,Not Designated
39033,Crawford,OH,United States,OH,Not Designated
39063,Hancock,OH,United States,OH,Not Designated
39065,Hardin,OH,United States,OH,Not Designated
39077,Huron,OH,United States,OH,Not Designated
39139,Richland,OH,United States,OH,Not Designated
39143,Sandusky,OH,United States,OH,Not Designated
39147,Seneca,OH,United States,OH,Not Designated
39173,Wood,OH,United States,OH,Not Designated
39175,Wyandot,OH,United States,OH,Not Designated
39095,Lucas,OH,United States,OH,Not Designated
39123,Ottawa,OH,United States,OH,Not Designated
39043,Erie,OH,United States,OH,Not Designated
39005,Ashland,OH,United States,OH,Not Designated
39093,Lorain,OH,United States,OH,Not Designated
39103,Medina,OH,United States,OH,Not Designated
39151,Stark,OH,United States,OH,Not Designated
39153,Summit,OH,United States,OH,Not Designated
39169,Wayne,OH,United States,OH,Not Designated
39035,Cuyahoga,OH,United States,OH,Not Designated
39085,Lake,OH,United States,OH,Not Designated
39029,Columbiana,OH,United States,OH,Not Designated
39099,Mahoning,OH,United States,OH,Not Designated
39133,Portage,OH,United States,OH,Not Designated
39155,Trumbull,OH,United States,OH,Not Designated
39007,Ashtabula,OH,United States,OH,Not Designated
39055,Geauga,OH,United States,OH,Not Designated
40025,Cimarron,OK,United States,OK,Not Designated
40009,Beckham,OK,United States,OK,Not Designated
40057,Harmon,OK,United States,OK,Not Designated
40129,Roger Mills,OK,United States,OK,Not Designated
40139,Texas,OK,United States,OK,Not Designated
40007,Beaver,OK,United States,OK,Not Designated
40045,Ellis,OK,United States,OK,Not Designated
40059,Harper,OK,United States,OK,Not Designated
40067,Jefferson,OK,United States,OK,Not Designated
40085,Love,OK,United States,OK,Not Designated
40013,Bryan,OK,United States,OK,Not Designated
40095,Marshall,OK,United States,OK,Not Designated
40023,Choctaw,OK,United States,OK,Not Designated
40089,McCurtain,OK,United States,OK,Not Designated
40055,Greer,OK,United States,OK,Not Designated
40065,Jackson,OK,United States,OK,Not Designated
40075,Kiowa,OK,United States,OK,Not Designated
40031,Comanche,OK,United States,OK,Not Designated
40033,Cotton,OK,United States,OK,Not Designated
40141,Tillman,OK,United States,OK,Not Designated
40015,Caddo,OK,United States,OK,Not Designated
40039,Custer,OK,United States,OK,Not Designated
40149,Washita,OK,United States,OK,Not Designated
40019,Carter,OK,United States,OK,Not Designated
40049,Garvin,OK,United States,OK,Not Designated
40099,Murray,OK,United States,OK,Not Designated
40137,Stephens,OK,United States,OK,Not Designated
40017,Canadian,OK,United States,OK,Not Designated
40051,Grady,OK,United States,OK,Not Designated
40027,Cleveland,OK,United States,OK,Not Designated
40087,McClain,OK,United States,OK,Not Designated
40109,Oklahoma,OK,United States,OK,Not Designated
40003,Alfalfa,OK,United States,OK,Not Designated
40011,Blaine,OK,United States,OK,Not Designated
40043,Dewey,OK,United States,OK,Not Designated
40093,Major,OK,United States,OK,Not Designated
40151,Woods,OK,United States,OK,Not Designated
40153,Woodward,OK,United States,OK,Not Designated
40047,Garfield,OK,United States,OK,Not Designated
40053,Grant,OK,United States,OK,Not Designated
40071,Kay,OK,United States,OK,Not Designated
40073,Kingfisher,OK,United States,OK,Not Designated
40083,Logan,OK,United States,OK,Not Designated
40103,Noble,OK,United States,OK,Not Designated
40119,Payne,OK,United States,OK,Not Designated
40005,Atoka,OK,United States,OK,Not Designated
40029,Coal,OK,United States,OK,Not Designated
