FIPS,County,State,name,name_short,designation
48141,El Paso,TX,United States,TX,Not Designated
48229,Hudspeth,TX,United States,TX,Not Designated
48377,Presidio,TX,United States,TX,Not Designated
48243,Jeff Davis,TX,United States,TX,Not Designated
48043,Brewster,TX,United States,TX,Not Designated
48371,Pecos,TX,United States,TX,Not Designated
48127,Dimmit,TX,United States,TX,Not Designated
48323,Maverick,TX,United States,TX,Not Designated
48507,Zavala,TX,United States,TX,Not Designated
48465,Val Verde,TX,United States,TX,Not Designated
48105,Crockett,TX,United States,TX,Not Designated
48443,Terrell,TX,United States,TX,Not Designated
48137,Edwards,TX,United States,TX,Not Designated
48267,Kimble,TX,United States,TX,Not Designated
48271,Kinney,TX,United States,TX,Not Designated
48327,Menard,TX,United States,TX,Not Designated
48385,Real,TX,United States,TX,Not Designated
48413,Schleicher,TX,United States,TX,Not Designated
48435,Sutton,TX,United States,TX,Not Designated
48463,Uvalde,TX,United States,TX,Not Designated
48131,Duval,TX,United States,TX,Not Designated
48247,Jim Hogg,TX,United States,TX,Not Designated
48427,Starr,TX,United States,TX,Not Designated
48505,Zapata,TX,United States,TX,Not Designated
48215,Hidalgo,TX,United States,TX,Not Designated
48061,Cameron,TX,United States,TX,Not Designated
48489,Willacy,TX,United States,TX,Not Designated
48047,Brooks,TX,United States,TX,Not Designated
48249,Jim Wells,TX,United States,TX,Not Designated
48261,Kenedy,TX,United States,TX,Not Designated
48273,Kleberg,TX,United States,TX,Not Designated
48013,Atascosa,TX,United States,TX,Not Designated
48163,Frio,TX,United States,TX,Not Designated
48283,La Salle,TX,United States,TX,Not Designated
48311,McMullen,TX,United States,TX,Not Designated
48479,Webb,TX,United States,TX,Not Designated
48025,Bee,TX,United States,TX,Not Designated
48297,Live Oak,TX,United States,TX,Not Designated
48355,Nueces,TX,United States,TX,Not Designated
48409,San Patricio,TX,United States,TX,Not Designated
48007,Aransas,TX,United States,TX,Not Designated
48391,Refugio,TX,United States,TX,Not Designated
48123,DeWitt,TX,United States,TX,Not Designated
48175,Goliad,TX,United States,TX,Not Designated
48255,Karnes,TX,United States,TX,Not Designated
48493,Wilson,TX,United States,TX,Not Designated
48019,Bandera,TX,United States,TX,Not Designated
48029,Bexar,TX,United States,TX,Not Designated
48091,Comal,TX,United States,TX,Not Designated
48259,Kendall,TX,United States,TX,Not Designated
48265,Kerr,TX,United States,TX,Not Designated
48325,Medina,TX,United States,TX,Not Designated
48031,Blanco,TX,United States,TX,Not Designated
48171,Gillespie,TX,United States,TX,Not Designated
48299,Llano,TX,United States,TX,Not Designated
48319,Mason,TX,United States,TX,Not Designated
48187,Guadalupe,TX,United States,TX,Not Designated
48209,Hays,TX,United States,TX,Not Designated
48055,Caldwell,TX,United States,TX,Not Designated
48177,Gonzales,TX,United States,TX,Not Designated
48021,Bastrop,TX,United States,TX,Not Designated
48053,Burnet,TX,United States,TX,Not Designated
48287,Lee,TX,United States,TX,Not Designated
48453,Travis,TX,United States,TX,Not Designated
48491,Williamson,TX,United States,TX,Not Designated
48057,Calhoun,TX,United States,TX,Not Designated
48239,Jackson,TX,United States,TX,Not Designated
48469,Victoria,TX,United States,TX,Not Designated
48321,Matagorda,TX,United States,TX,Not Designated
48039,Brazoria,TX,United States,TX,Not Designated
48089,Colorado,TX,United States,TX,Not Designated
48149,Fayette,TX,United States,TX,Not Designated
48285,Lavaca,TX,United States,TX,Not Designated
48157,Fort Bend,TX,United States,TX,Not Designated
48481,Wharton,TX,United States,TX,Not Designated
48015,Austin,TX,United States,TX,Not Designated
48473,Waller,TX,United States,TX,Not Designated
48477,Washington,TX,United States,TX,Not Designated
48331,Milam,TX,United States,TX,Not Designated
48051,Burleson,TX,United States,TX,Not Designated
48041,Brazos,TX,United States,TX,Not Designated
48185,Grimes,TX,United States,TX,Not Designated
48201,Harris,TX,United States,TX,Not Designated
48167,Galveston,TX,United States,TX,Not Designated
48071,Chambers,TX,United States,TX,Not Designated
48339,Montgomery,TX,United States,TX,Not Designated
48407,San Jacinto,TX,United States,TX,Not Designated
48471,Walker,TX,United States,TX,Not Designated
48199,Hardin,TX,United States,TX,Not Designated
48291,Liberty,TX,United States,TX,Not Designated
48373,Polk,TX,United States,TX,Not Designated
48245,Jefferson,TX,United States,TX,Not Designated
48361,Orange,TX,United States,TX,Not Designated
48241,Jasper,TX,United States,TX,Not Designated
48351,Newton,TX,United States,TX,Not Designated
48457,Tyler,TX,United States,TX,Not Designated
48109,Culberson,TX,United States,TX,Not Designated
48301,Loving,TX,United States,TX,Not Designated
48389,Reeves,TX,United States,TX,Not Designated
48475,Ward,TX,United States,TX,Not Designated
48103,Crane,TX,United States,TX,Not Designated
48003,Andrews,TX,United States,TX,Not Designated
48135,Ector,TX,United States,TX,Not Designated
48495,Winkler,TX,United States,TX,Not Designated
48017,Bailey,TX,United States,TX,Not Designated
48079,Cochran,TX,United States,TX,Not Designated
48165,Gaines,TX,United States,TX,Not Designated
48219,Hockley,TX,United States,TX,Not Designated
48279,Lamb,TX,United States,TX,Not Designated
48445,Terry,TX,United States,TX,Not Designated
48501,Yoakum,TX,United States,TX,Not Designated
48081,Coke,TX,United States,TX,Not Designated
48095,Concho,TX,United States,TX,Not Designated
48173,Glasscock,TX,United States,TX,Not Designated
48227,Howard,TX,United States,TX,Not Designated
48235,Irion,TX,United States,TX,Not Designated
48317,Martin,TX,United States,TX,Not Designated
48329,Midland,TX,United States,TX,Not Designated
48335,Mitchell,TX,United States,TX,Not Designated
48353,Nolan,TX,United States,TX,Not Designated
48383,Reagan,TX,United States,TX,Not Designated
48399,Runnels,TX,United States,TX,Not Designated
48431,Sterling,TX,United States,TX,Not Designated
48441,Taylor,TX,United States,TX,Not Designated
48451,Tom Green,TX,United States,TX,Not Designated
48461,Upton,TX,United States,TX,Not Designated
48033,Borden,TX,United States,TX,Not Designated
48101,Cottle,TX,United States,TX,Not Designated
48107,Crosby,TX,United States,TX,Not Designated
48115,Dawson,TX,United States,TX,Not Designated
48125,Dickens,TX,United States,TX,Not Designated
48151,Fisher,TX,United States,TX,Not Designated
48153,Floyd,TX,United States,TX,Not Designated
48155,Foard,TX,United States,TX,Not Designated
48169,Garza,TX,United States,TX,Not Designated
48189,Hale,TX,United States,TX,Not Designated
48207,Haskell,TX,United States,TX,Not Designated
48253,Jones,TX,United States,TX,Not Designated
48263,Kent,TX,United States,TX,Not Designated
48269,King,TX,United States,TX,Not Designated
48275,Knox,TX,United States,TX,Not Designated
48303,Lubbock,TX,United States,TX,Not Designated
48305,Lynn,TX,United States,TX,Not Designated
48345,Motley,TX,United States,TX,Not Designated
48415,Scurry,TX,United States,TX,Not Designated
48433,Stonewall,TX,United States,TX,Not Designated
48069,Castro,TX,United States,TX,Not Designated
48117,Deaf Smith,TX,United States,TX,Not Designated
48359,Oldham,TX,United States,TX,Not Designated
48369,Parmer,TX,United States,TX,Not Designated
48111,Dallam,TX,United States,TX,Not Designated
