FIPS,County,State,name,name_short,designation
54059,Mingo,WV,WVU Cancer Institute,wvu,Not Designated
54099,Wayne,WV,WVU Cancer Institute,wvu,Not Designated
54043,Lincoln,WV,WVU Cancer Institute,wvu,Not Designated
54045,Logan,WV,WVU Cancer Institute,wvu,Not Designated
54047,McDowell,WV,WVU Cancer Institute,wvu,Not Designated
54109,Wyoming,WV,WVU Cancer Institute,wvu,Not Designated
54081,Raleigh,WV,WVU Cancer Institute,wvu,Not Designated
54005,Boone,WV,WVU Cancer Institute,wvu,Not Designated
54011,Cabell,WV,WVU Cancer Institute,wvu,Not Designated
54053,Mason,WV,WVU Cancer Institute,wvu,Not Designated
54079,Putnam,WV,WVU Cancer Institute,wvu,Not Designated
54035,Jackson,WV,WVU Cancer Institute,wvu,Not Designated
54039,Kanawha,WV,WVU Cancer Institute,wvu,Not Designated
54087,Roane,WV,WVU Cancer Institute,wvu,Not Designated
54105,Wirt,WV,WVU Cancer Institute,wvu,Not Designated
54107,Wood,WV,WVU Cancer Institute,wvu,Not Designated
54019,Fayette,WV,WVU Cancer Institute,wvu,Not Designated
54055,Mercer,WV,WVU Cancer Institute,wvu,Not Designated
54089,Summers,WV,WVU Cancer Institute,wvu,Not Designated
54025,Greenbrier,WV,WVU Cancer Institute,wvu,Not Designated
54063,Monroe,WV,WVU Cancer Institute,wvu,Not Designated
54007,Braxton,WV,WVU Cancer Institute,wvu,Not Designated
54013,Calhoun,WV,WVU Cancer Institute,wvu,Not Designated
54015,Clay,WV,WVU Cancer Institute,wvu,Not Designated
54021,Gilmer,WV,WVU Cancer Institute,wvu,Not Designated
54067,Nicholas,WV,WVU Cancer Institute,wvu,Not Designated
54041,Lewis,WV,WVU Cancer Institute,wvu,Not Designated
54075,Pocahontas,WV,WVU Cancer Institute,wvu,Not Designated
54097,Upshur,WV,WVU Cancer Institute,wvu,Not Designated
54101,Webster,WV,WVU Cancer Institute,wvu,Not Designated
54071,Pendleton,WV,WVU Cancer Institute,wvu,Not Designated
54083,Randolph,WV,WVU Cancer Institute,wvu,Not Designated
54017,Doddridge,WV,WVU Cancer Institute,wvu,Not Designated
54073,Pleasants,WV,WVU Cancer Institute,wvu,Not Designated
54085,Ritchie,WV,WVU Cancer Institute,wvu,Not Designated
54095,Tyler,WV,WVU Cancer Institute,wvu,Not Designated
54103,Wetzel,WV,WVU Cancer Institute,wvu,Not Designated
54001,Barbour,WV,WVU Cancer Institute,wvu,Not Designated
54033,Harrison,WV,WVU Cancer Institute,wvu,Not Designated
54049,Marion,WV,WVU Cancer Institute,wvu,Not Designated
54061,Monongalia,WV,WVU Cancer Institute,wvu,Not Designated
54091,Taylor,WV,WVU Cancer Institute,wvu,Not Designated
54009,Brooke,WV,WVU Cancer Institute,wvu,Not Designated
54029,Hancock,WV,WVU Cancer Institute,wvu,Not Designated
54051,Marshall,WV,WVU Cancer Institute,wvu,Not Designated
54069,Ohio,WV,WVU Cancer Institute,wvu,Not Designated
54077,Preston,WV,WVU Cancer Institute,wvu,Not Designated
54093,Tucker,WV,WVU Cancer Institute,wvu,Not Designated
54023,Grant,WV,WVU Cancer Institute,wvu,Not Designated
54027,Hampshire,WV,WVU Cancer Institute,wvu,Not Designated
54031,Hardy,WV,WVU Cancer Institute,wvu,Not Designated
54057,Mineral,WV,WVU Cancer Institute,wvu,Not Designated
54003,Berkeley,WV,WVU Cancer Institute,wvu,Not Designated
54065,Morgan,WV,WVU Cancer Institute,wvu,Not Designated
54037,Jefferson,WV,WVU Cancer Institute,wvu,Not Designated
